cap,trial,framework,calls_admitted,calls_refused,total_billed_uc,overshoot,refusal_point,exception,notes
20000,7,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,8,token_budgets,1,0,3,0,completed_within_budget,,
20000,8,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,9,token_budgets,1,0,3,0,completed_within_budget,,
20000,9,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,10,token_budgets,1,0,3,0,completed_within_budget,,
20000,10,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,11,token_budgets,1,0,3,0,completed_within_budget,,
20000,11,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,12,token_budgets,1,0,3,0,completed_within_budget,,
20000,12,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,13,token_budgets,1,0,3,0,completed_within_budget,,
20000,13,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,14,token_budgets,1,0,3,0,completed_within_budget,,
20000,14,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,15,token_budgets,1,0,3,0,completed_within_budget,,
20000,15,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,16,token_budgets,1,0,3,0,completed_within_budget,,
20000,16,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,17,token_budgets,1,0,3,0,completed_within_budget,,
20000,17,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,18,token_budgets,1,0,3,0,completed_within_budget,,
20000,18,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
20000,19,token_budgets,1,0,3,0,completed_within_budget,,
20000,19,agent_contracts,,,,,,setup:TypeError:ResourceConstraints.__init__() got an unexpected keyword argument 'max_input_tokens',Contract instantiation failed
